ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2014-11-17,3137.4672642492974,4339.001123542814,8671.762135517445,3137.4672642492974,3137.4672642492974,3351.161373820015,3351.161373820015,3351.161373820015,3351.161373820015,3351.161373820015,3351.161373820015,0.0,0.0,0.0,6488.628638069313
2014-11-24,3143.0482294545377,3700.1106863494356,8022.738250530796,3143.0482294545377,3143.0482294545377,2719.9252761375847,2719.9252761375847,2719.9252761375847,2719.9252761375847,2719.9252761375847,2719.9252761375847,0.0,0.0,0.0,5862.973505592123
2014-12-01,3148.6291946597785,3532.7628409583826,8021.035999754807,3148.6291946597785,3148.6291946597785,2675.9483815807166,2675.9483815807166,2675.9483815807166,2675.9483815807166,2675.9483815807166,2675.9483815807166,0.0,0.0,0.0,5824.577576240496
2014-12-08,3154.210159865019,4290.360212010088,8685.024139672965,3154.210159865019,3154.210159865019,3344.026064356259,3344.026064356259,3344.026064356259,3344.026064356259,3344.026064356259,3344.026064356259,0.0,0.0,0.0,6498.2362242212785
2014-12-15,3159.7911251918076,4754.263398509213,9393.81815239506,3159.7911251918076,3159.7911251918076,3972.187945013796,3972.187945013796,3972.187945013796,3972.187945013796,3972.187945013796,3972.187945013796,0.0,0.0,0.0,7131.979070205603
2014-12-22,3165.3720905185955,4597.527917839797,9035.988371149924,3165.3720905185955,3165.3720905185955,3641.5103977797535,3641.5103977797535,3641.5103977797535,3641.5103977797535,3641.5103977797535,3641.5103977797535,0.0,0.0,0.0,6806.882488298349
2014-12-29,3170.9530558453844,3168.7157346062563,7502.643669963401,3170.9530558453844,3170.9530558453844,2080.142255074188,2080.142255074188,2080.142255074188,2080.142255074188,2080.142255074188,2080.142255074188,0.0,0.0,0.0,5251.0953109195725
2015-01-05,3176.5340211721727,935.015806309592,5381.47795550198,3176.5340211721727,3176.5340211721727,-86.17226844788871,-86.17226844788871,-86.17226844788871,-86.17226844788871,-86.17226844788871,-86.17226844788871,0.0,0.0,0.0,3090.361752724284
2015-01-12,3182.1149864989616,-725.2684417112583,3524.4758214980698,3182.1149864989616,3182.1149864989616,-1811.2080318436942,-1811.2080318436942,-1811.2080318436942,-1811.2080318436942,-1811.2080318436942,-1811.2080318436942,0.0,0.0,0.0,1370.9069546552673
2015-01-19,3187.695951715767,-1727.9069277220071,2932.4735152838034,3187.695951715767,3187.695951715767,-2421.6246667257074,-2421.6246667257074,-2421.6246667257074,-2421.6246667257074,-2421.6246667257074,-2421.6246667257074,0.0,0.0,0.0,766.0712849900597
2015-01-26,3193.276916932572,-1210.6385149655941,3241.913964930809,3193.276916932572,3193.276916932572,-2085.030460773359,-2085.030460773359,-2085.030460773359,-2085.030460773359,-2085.030460773359,-2085.030460773359,0.0,0.0,0.0,1108.2464561592128
2015-02-02,3198.857882149377,-438.29719378574066,3692.1010709542156,3198.857882149377,3198.857882149377,-1580.765337954669,-1580.765337954669,-1580.765337954669,-1580.765337954669,-1580.765337954669,-1580.765337954669,0.0,0.0,0.0,1618.0925441947081
2015-02-09,3204.438847366182,-538.4271835770786,3870.503227840795,3204.438847366182,3204.438847366182,-1578.4382080728178,-1578.4382080728178,-1578.4382080728178,-1578.4382080728178,-1578.4382080728178,-1578.4382080728178,0.0,0.0,0.0,1626.0006392933642
2015-02-16,3210.019812582987,-907.1018267138779,3520.1763672384914,3210.019812582987,3210.019812582987,-2061.460612642797,-2061.460612642797,-2061.460612642797,-2061.460612642797,-2061.460612642797,-2061.460612642797,0.0,0.0,0.0,1148.55919994019
2015-02-23,3215.6007778052312,-1311.9940794254294,3074.7335104176805,3215.6007778052312,3215.6007778052312,-2418.708971200421,-2418.708971200421,-2418.708971200421,-2418.708971200421,-2418.708971200421,-2418.708971200421,0.0,0.0,0.0,796.8918066048104
2015-03-02,3221.1817430274755,-1094.4476194066995,3369.8646236365353,3221.1817430274755,3221.1817430274755,-2108.7366361397044,-2108.7366361397044,-2108.7366361397044,-2108.7366361397044,-2108.7366361397044,-2108.7366361397044,0.0,0.0,0.0,1112.445106887771
2015-03-09,3226.76270824972,-229.6510140084593,4305.276980114201,3226.76270824972,3226.76270824972,-1234.2492331442343,-1234.2492331442343,-1234.2492331442343,-1234.2492331442343,-1234.2492331442343,-1234.2492331442343,0.0,0.0,0.0,1992.513475105486
2015-03-16,3232.343673471965,675.2537094267062,4880.096696788762,3232.343673471965,3232.343673471965,-440.4567619313049,-440.4567619313049,-440.4567619313049,-440.4567619313049,-440.4567619313049,-440.4567619313049,0.0,0.0,0.0,2791.88691154066
